SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_10004,1_10004_u,"And of those few months, how long have you been a demented sex pervert?",0:07,SHELDON,BBT,0,NONE,Anger,Anger,2,7
1_10009,1_10009_u,"Let the dead man talk. So, why do you think that?",0:05,PENNY,BBT,0,NONE,Happiness,Happiness,6,5
1_1001,1_1001_u,"What else? Sell it on eBay as ""slightly used.""",0:04,RAJ,BBT,0,NONE,Excitement,Excitement,6,5
1_1003,1_1003_u,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",0:08,HOWARD,BBT,1,PRO,Anger,Sadness,3,6
1_10190,1_10190_u,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",0:11,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_10462,1_10462_u,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",0:09,HOWARD,BBT,1,PRO,Disgust,Excitement,4,6
1_10495,1_10495_u,And if it turns out you don't... - you and I could live together.,0:07,AMY,BBT,1,ILL,Disgust,Neutral,3,7
1_10496,1_10496_u,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",0:14,SHELDON,BBT,1,PRO,Frustration,Happiness,2,8
1_105,1_105_u,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,0:06,SHELDON,BBT,1,EMB,Disgust,Neutral,2,6
1_10748,1_10748_u,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",0:07,AMY,BBT,1,PRO,Disgust,Sadness,3,7
1_10797,1_10797_u,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0:07,AMY,BBT,0,NONE,Frustration,Frustration,4,6
1_10810,1_10810_u,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0:1,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_10829,1_10829_u,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",0:1,SHELDON,BBT,1,EMB,Disgust,Happiness,3,4
1_10849,1_10849_u,That's how much buying a comic book store means to me.,0:05,HOWARD,BBT,0,NONE,Excitement,Excitement,6,6
1_10853,1_10853_u,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0:05,PENNY,BBT,0,NONE,Sadness,Sadness,4,6
1_10857,1_10857_u,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0:07,RAJ,BBT,0,NONE,Happiness,Happiness,6,7
1_10859,1_10859_u,I don't need a reason-- it's my house.,0:03,HOWARD,BBT,0,NONE,Frustration,Frustration,4,5
1_10890,1_10890_u,"Boy, when you met Bernadette, the field of robotics really took a hit.",0:06,RAJ,BBT,1,PRO,Disgust,Happiness,3,6
1_10977,1_10977_u,Let's not talk about this in front of our friends.,0:04,HOWARD,BBT,0,NONE,Sadness,Sadness,4,5
1_11006,1_11006_u,Maybe it's a good thing we came here. It's like a lesson in what not to do.,0:04,PENNY,BBT,1,PRO,Disgust,Happiness,3,6
1_11021,1_11021_u,"Same as all of us, getting out of a car without underwear.",0:05,PENNY,BBT,1,PRO,Ridicule,Neutral,4,6
1_11042,1_11042_u,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0:07,BERNADETTE,BBT,0,NONE,Sadness,Sadness,3,7
1_11046,1_11046_u,"Wow, he really went where no man has gone before.",0:05,HOWARD,BBT,0,NONE,Happiness,Surprise,6,6
1_11051,1_11051_u,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0:07,PERSON,BBT,0,NONE,Happiness,Happiness,6,6
1_11055,1_11055_u,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",0:12,LEONARD,BBT,1,PRO,Disgust,Neutral,3,7
